arrival_date,commodity,variety,mandi_name,state,price_modal_kg,arrivals_mt,price_lag_1,price_lag_7,price_lag_14,arrivals_lag_1,arrivals_7day_avg,season_week,month,year,price_yoy,arrivals_yoy,bearing_year_flag,export_demand_proxy,flowering_weather_score
2015-05-04,Mango,Mallika,Bhagalpur APMC,Bihar,94.95,287.69,,,,,287.69,10,5,2015,,,1,66.7145,75.21
2015-05-11,Mango,Mallika,Bhagalpur APMC,Bihar,103.86,271.16,94.95,,,287.69,279.425,11,5,2015,,,1,66.5633,74.7
2015-05-18,Mango,Mallika,Bhagalpur APMC,Bihar,100.85,318.78,103.86,,,271.16,292.54333333333335,12,5,2015,,,1,66.8825,70.76
2015-05-25,Mango,Mallika,Bhagalpur APMC,Bihar,101.53,273.4,100.85,,,318.78,287.7575,13,5,2015,,,1,66.9524,74.33
2015-06-01,Mango,Mallika,Bhagalpur APMC,Bihar,97.11,270.97,101.53,,,273.4,284.4,14,6,2015,,,1,66.3199,55.36
2015-06-08,Mango,Mallika,Bhagalpur APMC,Bihar,105.43,264.96,97.11,,,270.97,281.16,15,6,2015,,,1,66.259,62.05
2015-06-15,Mango,Mallika,Bhagalpur APMC,Bihar,101.04,223.59,105.43,,,264.96,272.93571428571425,16,6,2015,,,1,66.3652,59.27
2015-06-22,Mango,Mallika,Bhagalpur APMC,Bihar,108.52,223.96,101.04,94.95,,223.59,263.83142857142855,17,6,2015,,,1,66.4392,68.38
2015-06-29,Mango,Mallika,Bhagalpur APMC,Bihar,98.71,174.41,108.52,103.86,,223.96,250.01,18,6,2015,,,1,66.3121,68.69
2016-05-02,Mango,Mallika,Bhagalpur APMC,Bihar,104.95,221.38,98.71,100.85,,174.41,236.09571428571425,9,5,2016,,,0,68.7319,75.85
2016-05-09,Mango,Mallika,Bhagalpur APMC,Bihar,104.5,237.55,104.95,101.53,,221.38,230.9742857142857,10,5,2016,9.549999999999997,-50.139999999999986,0,68.5579,78.31
2016-05-16,Mango,Mallika,Bhagalpur APMC,Bihar,107.36,251.18,104.5,97.11,,237.55,228.14714285714285,11,5,2016,3.5,-19.980000000000018,0,68.3007,75.45
2016-05-23,Mango,Mallika,Bhagalpur APMC,Bihar,94.1,244.66,107.36,105.43,,251.18,225.24714285714285,12,5,2016,-6.75,-74.11999999999998,0,67.6337,72.84
2016-05-30,Mango,Mallika,Bhagalpur APMC,Bihar,119.38,244.51,94.1,101.04,,244.66,228.2357142857143,13,5,2016,17.849999999999994,-28.889999999999986,0,68.2832,77.84
2016-06-06,Mango,Mallika,Bhagalpur APMC,Bihar,103.62,218.43,119.38,108.52,94.95,244.51,227.44571428571427,14,6,2016,6.510000000000005,-52.54000000000002,0,68.126,65.46
2016-06-13,Mango,Mallika,Bhagalpur APMC,Bihar,88.12,208.4,103.62,98.71,103.86,218.43,232.30142857142854,15,6,2016,-17.310000000000002,-56.559999999999974,0,67.6344,63.55
2016-06-20,Mango,Mallika,Bhagalpur APMC,Bihar,98.1,166.4,88.12,104.95,100.85,208.4,224.44714285714286,16,6,2016,-2.940000000000012,-57.19,0,67.3089,62.66
2016-06-27,Mango,Mallika,Bhagalpur APMC,Bihar,100.23,148.09,98.1,104.5,101.53,166.4,211.66714285714286,17,6,2016,-8.289999999999992,-75.87,0,67.7445,59.59
2017-05-01,Mango,Mallika,Bhagalpur APMC,Bihar,106.45,243.51,100.23,107.36,97.11,148.09,210.57142857142858,9,5,2017,7.740000000000009,69.1,1,69.7823,73.32
2017-05-08,Mango,Mallika,Bhagalpur APMC,Bihar,104.92,274.1,106.45,94.1,105.43,243.51,214.77714285714288,10,5,2017,-0.030000000000001137,52.72000000000003,1,69.4187,74.86
2017-05-15,Mango,Mallika,Bhagalpur APMC,Bihar,101.51,314.68,104.92,119.38,101.04,274.1,224.80142857142854,11,5,2017,-2.989999999999995,77.13,1,69.9831,73.94
2017-05-22,Mango,Mallika,Bhagalpur APMC,Bihar,110.16,309.87,101.51,103.62,108.52,314.68,237.8642857142857,12,5,2017,2.799999999999997,58.69,1,69.1857,71.63
2017-05-29,Mango,Mallika,Bhagalpur APMC,Bihar,107.24,249.8,110.16,88.12,98.71,309.87,243.77857142857144,13,5,2017,13.14,5.140000000000015,1,70.2227,68.79
2017-06-05,Mango,Mallika,Bhagalpur APMC,Bihar,103.45,261.52,107.24,98.1,104.95,249.8,257.3671428571428,14,6,2017,-15.929999999999993,17.00999999999999,1,69.488,60.92
2017-06-12,Mango,Mallika,Bhagalpur APMC,Bihar,109.42,229.74,103.45,100.23,104.5,261.52,269.0314285714286,15,6,2017,5.799999999999997,11.310000000000002,1,69.6362,69.35
2017-06-19,Mango,Mallika,Bhagalpur APMC,Bihar,103.88,227.53,109.42,106.45,107.36,229.74,266.74857142857144,16,6,2017,15.759999999999991,19.129999999999995,1,69.6852,66.98
2017-06-26,Mango,Mallika,Bhagalpur APMC,Bihar,90.91,191.38,103.88,104.92,94.1,227.53,254.93142857142857,17,6,2017,-7.189999999999998,24.97999999999999,1,68.9878,63.4
2018-05-07,Mango,Mallika,Bhagalpur APMC,Bihar,102.78,236.37,90.91,101.51,119.38,191.38,243.74428571428572,10,5,2018,2.549999999999997,88.28,0,71.5272,85.55
2018-05-14,Mango,Mallika,Bhagalpur APMC,Bihar,117.61,238.04,102.78,110.16,103.62,236.37,233.4828571428571,11,5,2018,11.159999999999997,-5.469999999999999,0,71.4458,78.32
2018-05-21,Mango,Mallika,Bhagalpur APMC,Bihar,101.46,256.8,117.61,107.24,88.12,238.04,234.48285714285717,12,5,2018,-3.460000000000008,-17.30000000000001,0,71.5928,76.47
2018-05-28,Mango,Mallika,Bhagalpur APMC,Bihar,103.65,244.25,101.46,103.45,98.1,256.8,232.0157142857143,13,5,2018,2.1400000000000006,-70.43,0,71.0363,76.57
2018-06-04,Mango,Mallika,Bhagalpur APMC,Bihar,101.42,217.31,103.65,109.42,100.23,244.25,230.24,14,6,2018,-8.739999999999995,-92.56,0,71.5252,73.07
2018-06-11,Mango,Mallika,Bhagalpur APMC,Bihar,104.11,202.79,101.42,103.88,106.45,217.31,226.7057142857143,15,6,2018,-3.1299999999999955,-47.01000000000002,0,71.1614,67.45
2018-06-18,Mango,Mallika,Bhagalpur APMC,Bihar,105.25,198.38,104.11,90.91,104.92,202.79,227.70571428571427,16,6,2018,1.7999999999999972,-63.139999999999986,0,70.6807,66.01
2018-06-25,Mango,Mallika,Bhagalpur APMC,Bihar,105.43,145.45,105.25,102.78,101.51,198.38,214.71714285714285,17,6,2018,-3.989999999999995,-84.29000000000002,0,70.9776,62.29
2019-05-06,Mango,Mallika,Bhagalpur APMC,Bihar,110.19,276.04,105.43,117.61,110.16,145.45,220.1457142857143,10,5,2019,6.310000000000002,48.51000000000002,1,72.8803,75.46
2019-05-13,Mango,Mallika,Bhagalpur APMC,Bihar,98.48,311.05,110.19,101.46,107.24,276.04,227.8957142857143,11,5,2019,7.570000000000007,119.67000000000002,1,72.9037,64.8
2019-05-20,Mango,Mallika,Bhagalpur APMC,Bihar,101.02,287.78,98.48,103.65,103.45,311.05,234.1142857142857,12,5,2019,-1.7600000000000051,51.40999999999997,1,72.9429,73.48
2019-05-27,Mango,Mallika,Bhagalpur APMC,Bihar,102.11,287.13,101.02,101.42,109.42,287.78,244.0885714285714,13,5,2019,-15.5,49.09,1,72.5939,71.93
2019-06-03,Mango,Mallika,Bhagalpur APMC,Bihar,100.1,283.48,102.11,104.11,103.88,287.13,255.6157142857143,14,6,2019,-1.3599999999999994,26.680000000000007,1,72.8634,66.1
2019-06-10,Mango,Mallika,Bhagalpur APMC,Bihar,96.96,244.67,100.1,105.25,90.91,283.48,262.22857142857146,15,6,2019,-6.690000000000012,0.4199999999999875,1,72.4035,62.64
